a	〈C〉英語アルファベットの第1字 / 〈U〉(音階の)イ音,イ調 / 〈C〉《米》(学校で成績優秀を表す)A
aam	air-to-air missile 空対空ミサイル
aardvark	ツチブタ(シロアリを主食とするアフリカ産の哺乳動物)
aaron	アロン(モーセの兄;ヘブライ人最初の大祭司とされる)
abaci	abacus(そろばん)の複数形
aback	後へ,後ろに
abacus	そろばん
abaft	船尾に(へ) / …より船尾に
abalone	〈C〉アワビ;〈U〉アワビの身
abandon	…を捨てる,断念する / (詩的・文学的)奔放さ,自由奔放
abandoned	見捨てられた(deserted) / 身を持ちくずした,捨てばちの
abandonment	見捨てること,遺棄 / 自暴自棄
abase	〈品位・地位など〉を落とす,下げる;〈自分〉を卑しめる
abasement	(品位・地位などの)低下,失墜;屈辱
abash	《通例受動態で用いて》…を恥じ入らせる;…をまごつかせる,面くらわせる
abate	…の勢いを減らす,軽減する / (法律で)〈妨害など〉を排除する;〈効力など〉を停止する / 減る,やわらぐ,弱まる
abatement	軽減;緩和;〈C〉減価,減額
abatis	さかもぎ(敵の侵入を防ぐためのとがった柵)
abattoir	畜殺場
abbacy	大修道院長の職(任期)
abbe	〈C〉聖職者(カトリックの), 司祭, 修道士
abbess	女子修道院長
abbey	〈C〉大修道院 / 《集合的に》(一院全体の)僧,尼僧 / 〈C〉(大修道院の一部であった)大寺院;《the A-...
abbot	大修道院長
abbreviate	…を短縮する、短くする、簡潔にする
abbreviation	省略;〈C〉省略された語,略語,略字
abc	〈U〉アルファベット / 〈U〉〈C〉《the ~》(物事の)初歩,入門,いろは《+『of』+『名』》
abdicate	〈地位・権利など〉を捨てる,から退く / 〈王が〉(…から)退位する《+『from』+『名』》
abdication	退位,辞職
abdomen	腹部,腹;(昆虫の)腹部
abdominal	(比較変化なし)腹の,腹部の
abduct	…を誘拐する
abduction	誘拐
abductor	誘拐犯 / (解剖学で)外転筋
abeam	(海事用語で)(…の)真横に《+『of』+『名』》
abecedarian	初心者,初学者
abed	寝床に(in bed)
abel	アベル(聖書で,AdamとEveの第2子;兄のカイン(Cain)に殺された)
aberrant	正道からはずれた,常軌を逸した;異常な
aberration	正道からはずれること,非行,異常 / (軽い)精神異常
abet	(特に悪い事に)…を扇動する,そそのかす《+『名』+『in』+『名』(do『ing』)》
abetter	犯罪や悪事を助けたり、けしかけたりする人
abettor	犯罪や悪事を助けたり、けしかけたりする人
abeyance	一時的な中止(停止)
abhor	…をひどくきらう,嫌悪する
abhorrence	大きらいなもの;〈U〉(…を)大きらいなこと《+『of』+『名』(doing)》
abhorrent	嫌悪(けんお)すべき,憎むべき;(…にとって)嫌悪すべき《+『to』+『名』》
abide	(ある状態に)とどまる;残る / 住む / 《まれ》…をじっと待つ / 《否定文・疑問文で》…をがまんする,に耐える
abiding	永続的な,不変の
ability	〈U〉『能力』,力量 / 《複数形で》特殊な才能,優れた手腕
abject	(人・行為が)下劣な,あさましい / みじめな
abjection	卑しさ,卑劣,下劣
abjuration	宣誓して放棄すること
abjure	〈国籍・信仰・権利など〉を宣誓して捨てる
ablate	(手術・溶解・腐食などで)…を除去する / 除去される
ablation	切除,除去;融除 / 溶発(ロケットの先端が大気圏突入で溶解すること)
ablative	奪格の(ラテン語の格変化の一つ) / 奪格
ablaut	母音交替(sit,sat,seatのように語幹母音が変化すること)
ablaze	燃えたって / (…で)明るく輝いて《+『with』+『名』》
able	《補語にのみ用いて》《『be able to』 do》(…することが)『できる』 / 『有能な』,腕ききの,並々ならない
abloom	開花して(した)({形}は補語にのみ用いる)
ablution	《複数形で》(宗教上の儀式としての)沐浴(もくよく)
ably	りっぱに,うまく
abnegate	〈権利など〉を放棄する
abnegation	権利(欲望など)の放棄;禁欲
abnormal	『異常な』,普通でない,規準をはずれた
abnormality	〈U〉異常,変則 / 〈U〉異常なもの(事件)
abo	《差別的表現》《オーストラリア英語》《俗》原住民(aborigine)
aboard	(船・航空機・列車などに)乗って / (船・航空機・列車など)の中へ(に)
abode	〈C〉住所,住居 / 〈U〉滞在,居住 / abideの過去・過去分詞
abolish	〈制度・習慣・規則など〉を廃止する,やめる
abolition	廃止,撤廃 / 奴隷制度廃止
abolitionary	廃止の,(特に,米国の)奴隷制度廃止の
abolitionism	(特に米国の)奴隷制度廃止論
abolitionist	廃止論者,(特に)奴隷制度廃止論者
abominable	憎むべき,いまわしい / 《話》実にいやな,ひどい
abominate	《文》…を忌みきらう;《話》…が大きらい
abomination	〈U〉嫌悪,憎悪 / 〈C〉嫌悪するもの,いまわしいこと
abominator	嫌悪(憎悪)する人
aboriginal	土着の,もとからある / 原住民
aborigine	原住民;《通例複数形で》土着の動物(植物)
aborning	生まれつつある
abort	〈計画などを〉中止する,中断する,やめる,打ち切る / 流産する / 〈動植物や器官などが〉十分に発育しない / ...
abortion	〈U〉〈C〉流産;妊娠中絶 / 〈U〉(計画などの)失敗;〈C〉(実現しなかった)案,計画
abortional	中絶の / 流産の / 挫折した
abortionist	(違法に)堕胎を行う人 / 堕胎医(特に違法な手段で堕胎する者)
abortive	不成功の,失敗に終わった / 流産の / 発育不全の
abound	〈人・動物などが〉『たくさんいる』,多い
about	…について,に関して / 《おもに英》(また,おもに《米》『around』)…『の回りに(を)』,の周囲を(で) ...
above	《方向》《fly,go,riseなどの移動を表す動詞と結びついて》…『の上方へ』,より高いところへ / 《場所・位...
aboveboard	公明正大な,隠すことのない / 公明正大に,隠しごとをせずに
abovementioned	《名詞の前にのみ用いて》上記の,前述の
abracadabra	呪文 / たわごと
abrade	〈皮膚〉を擦傷する;〈毛・岩など〉をすり減らす
abraham	アブラハム(聖書で,ヘブライ族の始祖とされる)
abrasion	〈C〉すり傷 / 〈U〉すりむくこと,摩滅
abrasive	すり減らす,すりむく / 研磨剤(金剛砂・軽石など)
abreast	並んで,並行して
abridge	〈本・話など〉を要約する;〈会合・授業など〉を短縮する / 〈権利・活動範囲など〉を制限する
abridgement	〈U〉短縮(縮約)すること / 〈C〉縮約本,抄本
abridgment	〈U〉短縮(縮約)すること / 〈C〉縮約本,抄本
abroad	『海外へ(で)』,『外国に(で)』 / 《古》戸外へ / 『広く』;(うわさなどが)『広まって』
abrogate	〈法律・習慣など〉を廃止する,破棄する
abrogation	廃止,破棄
abrupt	『突然の』,不意の(sudden) / (坂道などが)けわしい,急な(steep) / (態度などが)ぶっきらぼうな
abruptly	突然に,不意に
abscess	膿瘍(のうよう)(膿んだできもの)
abscise	(植物が)自然に離れる,落葉する / 離層によって(葉・実などを)落とす
abscissa	横座標
abscission	切除,切断;分離,離脱
abscond	(…から)〈犯人などが〉ひそかに逃亡する,行くえをくらます《+『from』+『名』》
absence	〈U〉〈C〉留守,不在;『欠席』;不在期間;(…を)欠席すること《+『from』+『名』》 / 〈U〉(…が)『な...
absent	不在の,欠席した,欠けている,心を失った(忘却の) / (～から)〈人〉を欠席させる(+名+from+名)
absentee	欠席者,不在者 / 不在地主
absenteeism	(仕事・学校などの)常習的欠席,欠勤;長期欠席
absently	放心して
absentminded	放心した,ぼんやりしている / 忘れっぽい
absinth	ニガヨモギ / アブサン,アブサント(ニガヨモギなどから作られる緑色の強い蒸留酒)
absinthe	ニガヨモギ / アブサン,アブサント(ニガヨモギなどから作られる緑色の強い蒸留酒)
absolute	『まったくの』,完全な(complete) / 『絶対的な力を持った』,絶対の / 確かな,確固とした(certa...
absolutely	『絶対的に』,完全に / 無条件に,断然 / 《話》(返事や合いの手として)そのとおり,まったく
absolution	(特に宗教で罪を告白して与えられる正式の)免罪 / (罰金・責任などの)免除《+『from』+『名』+(do『in...
absolutism	専制政治
absolve	(特に宗教で)(…から)〈人〉を赦免する《+『名』〈人〉+『of』+『名』》 / (罰金・責任などから)〈人〉を免...
absorb	〈液体〉を『吸収する』,吸い込む / 〈光・音・熱・エネルギーなど〉を吸収する / 〈思想など〉を取り入れる / ...
absorbedly	夢中になって
absorbent	吸収性の,吸収する
absorbing	吸収する / 心を奪う,夢中にさせる
