word,points
aam,3
aardvark,3
aaron,3
abaci,3
aback,3
abacus,3
abaft,3
abalone,3
abandon,2
abandoned,3
abandonment,3
abase,3
abasement,3
abash,3
abate,3
abatement,3
abatis,3
abattoir,3
abbacy,3
abbe,3
abbess,3
abbey,3
abbot,3
abbreviate,3
abbreviation,3
abc,3
abdicate,3
abdication,3
abdomen,3
abdominal,3
abduct,3
abduction,3
abductor,3
abeam,3
abecedarian,3
abed,3
abel,3
aberrant,3
aberration,3
abet,3
abetter,3
abettor,3
abeyance,3
abhor,3
abhorrence,3
abhorrent,3
abide,3
abiding,3
ability,1
abject,3
abjection,3
abjuration,3
abjure,3
ablate,3
ablation,3
ablative,3
ablaut,3
ablaze,3
able,2
abloom,3
ablution,3
ably,3
abnegate,3
abnegation,3
abnormal,2
abnormality,3
abo,3
aboard,2
abode,3
abolish,3
abolition,3
abolitionary,3
abolitionism,3
abolitionist,3
abominable,3
abominate,3
abomination,3
abominator,3
aboriginal,3
aborigine,2
aborning,3
abort,3
abortion,3
abortional,3
abortionist,3
abortive,3
abound,3
about,1
above,2
aboveboard,3
abovementioned,3
abracadabra,3
abrade,3
abraham,3
abrasion,3
abrasive,3
abreast,3
abridge,3
abridgement,3
abridgment,3
abroad,1
abrogate,3
abrogation,3
abrupt,3
abruptly,3
abscess,3
abscise,3
abscissa,3
abscission,3
abscond,3
absence,2
absent,2
absentee,3
absenteeism,3
absently,3
absentminded,3
absinth,3
absinthe,3
absolute,2
absolutely,2
absolution,3
absolutism,3
absolve,3
absorb,2
absorbedly,3
absorbent,3
absorbing,3
absorption,3
abstain,3
abstainer,3
abstemious,3
abstention,3
abstinence,3
abstinent,3
abstract,2
abstracted,3
abstraction,3
abstruse,3
absurd,3
absurdity,3
abundance,2
abundant,2
abundantly,3
abuse,3
abusive,3
abut,3
abutment,3
abuttal,3
abysmal,3
abyss,3
abyssal,3
abyssinia,3
acacia,3
academe,3
academia,3
academic,2
academical,3
academician,3
academicism,3
academism,3
academy,2
acanthus,3
accede,3
accelerando,3
accelerate,3
acceleration,3
accelerator,3
accelerometer,3
accent,2
accentuate,3
accentuation,3
accept,1
acceptability,3
acceptable,1
acceptance,2
acceptation,3
accepted,3
accepter,3
acceptor,3
access,2
accessary,3
accessibility,3
accessible,2
accession,3
accessory,2
accidence,3
accident,1
accidental,2
accidentally,2
acclaim,3
acclamation,3
acclimate,3
acclimation,3
acclimatization,3
acclimatize,3
acclivity,3
accolade,3
accommodate,3
accommodating,3
accommodation,3
accompaniment,3
accompanist,3
accompany,2
accomplice,3
accomplish,2
accomplished,3
accomplisher,3
accomplishment,3
accord,3
accordance,3
accordant,3
according,3
accordingly,3
accordion,3
accordionist,3
accost,3
account,1
accountable,3
accountancy,3
accountant,2
accounting,3
accouter,3
accouterments,3
accoutre,3
accoutrements,3
accredit,3
accredited,3
accretion,3
accrue,3
acculturation,3
accumulate,3
accumulation,3
accumulative,3
accumulator,3
accuracy,2
accurate,2
accurately,2
accursed,3
accurst,3
accusation,3
accusative,3
accuse,2
accused,3
accuser,3
accustom,2
accustomed,3
ace,3
acerb,3
acerbate,3
acerbity,3
acetanilide,3
acetate,3
acetic,3
acetone,3
acetonic,3
acetylcholine,3
acetylene,3
ache,2
achene,3
achievable,3
achieve,1
achievement,2
achilles,3
achoo,3
achromatic,3
acid,3
acidhead,3
acidify,3
acidity,3
acidosis,3
acidulate,3
acidulated,3
acidulous,3
acknowledge,2
acknowledgement,3
acknowledger,3
acknowledgment,2
acme,3
acne,3
acolyte,3
aconite,3
acorn,3
acoustic,3
acoustics,3
acquaint,3
acquaintance,2
acquaintanceship,3
